"","Año","Entidad","Sexo","TOTHOM_INEGI"
"157",2016,"Veracruz","Mujer",142
"158",2016,"Veracruz","No especificado",2
"159",2016,"Yucatán","Hombre",54
"160",2016,"Yucatán","Mujer",9
"161",2016,"Zacatecas","Hombre",499
"162",2016,"Zacatecas","Mujer",79
"163",2016,"Zacatecas","No especificado",2
"164",2016,NA,"Hombre",29
"165",2016,NA,"Mujer",6
"166",2017,"Aguascalientes","Hombre",73
"167",2017,"Aguascalientes","Mujer",7
"168",2017,"Baja California","Hombre",1965
"169",2017,"Baja California","Mujer",202
"170",2017,"Baja California","No especificado",11
"171",2017,"Baja California Sur","Hombre",674
"172",2017,"Baja California Sur","Mujer",79
"173",2017,"Campeche","Hombre",70
"174",2017,"Campeche","Mujer",6
"175",2017,"Chiapas","Hombre",525
"176",2017,"Chiapas","Mujer",65
"177",2017,"Chihuahua","Hombre",1963
"178",2017,"Chihuahua","Mujer",244
"179",2017,"Chihuahua","No especificado",3
"180",2017,"Ciudad de México","Hombre",1182
"181",2017,"Ciudad de México","Mujer",142
"182",2017,"Coahuila","Hombre",220
"183",2017,"Coahuila","Mujer",35
"184",2017,"Colima","Hombre",742
"185",2017,"Colima","Mujer",74
"186",2017,"Colima","No especificado",1
"187",2017,"Durango","Hombre",173
"188",2017,"Durango","Mujer",27
"189",2017,"Guanajuato","Hombre",2062
"190",2017,"Guanajuato","Mujer",217
"191",2017,"Guanajuato","No especificado",3
"192",2017,"Guerrero","Hombre",2332
"193",2017,"Guerrero","Mujer",212
"194",2017,"Guerrero","No especificado",20
"195",2017,"Hidalgo","Hombre",256
"196",2017,"Hidalgo","Mujer",54
"197",2017,"Hidalgo","No especificado",3
"198",2017,"Jalisco","Hombre",1472
"199",2017,"Jalisco","Mujer",146
"200",2017,"Jalisco","No especificado",16
"201",2017,"México","Hombre",2587
"202",2017,"México","Mujer",470
"203",2017,"México","No especificado",8
"204",2017,"Michoacán","Hombre",1587
"205",2017,"Michoacán","Mujer",148
"206",2017,"Morelos","Hombre",571
"207",2017,"Morelos","Mujer",78
"208",2017,"Morelos","No especificado",4
"209",2017,"Nayarit","Hombre",447
"210",2017,"Nayarit","Mujer",65
"211",2017,"Nuevo León","Hombre",582
"212",2017,"Nuevo León","Mujer",65
"213",2017,"Oaxaca","Hombre",862
"214",2017,"Oaxaca","Mujer",123
"215",2017,"Puebla","Hombre",921
"216",2017,"Puebla","Mujer",139
"217",2017,"Puebla","No especificado",7
"218",2017,"Querétaro","Hombre",180
"219",2017,"Querétaro","Mujer",35
"220",2017,"Quintana Roo","Hombre",405
"221",2017,"Quintana Roo","Mujer",46
"222",2017,"Quintana Roo","No especificado",1
"223",2017,"San Luis Potosí","Hombre",454
