"","Año","Entidad","Sexo","POBTOT","TOTHOM","TOTHOM_INEGI"
"121",2016,"Tlaxcala","Hombre",636286,66,85
"122",2016,"Tlaxcala","Mujer",669484,12,11
"123",2016,"Veracruz","Hombre",4027316,1247,1135
"124",2016,"Veracruz","Mujer",4258097,109,142
"125",2016,"Yucatán","Hombre",1057671,42,54
"126",2016,"Yucatán","Mujer",1084846,8,9
"127",2016,"Zacatecas","Hombre",792080,493,499
"128",2016,"Zacatecas","Mujer",817825,58,79
"129",2017,"Aguascalientes","Hombre",672369,74,73
"130",2017,"Aguascalientes","Mujer",693211,9,7
"131",2017,"Baja California","Hombre",1716984,2078,1965
"132",2017,"Baja California","Mujer",1716365,204,202
"133",2017,"Baja California Sur","Hombre",379485,676,674
"134",2017,"Baja California Sur","Mujer",366168,91,79
"135",2017,"Campeche","Hombre",465318,64,70
"136",2017,"Campeche","Mujer",476638,6,6
"137",2017,"Chiapas","Hombre",2663335,467,525
"138",2017,"Chiapas","Mujer",2773611,40,65
"139",2017,"Chihuahua","Hombre",1821202,1790,1963
"140",2017,"Chihuahua","Mujer",1848501,210,244
"141",2017,"Ciudad de México","Hombre",4326935,1055,1182
"142",2017,"Ciudad de México","Mujer",4725408,98,142
"143",2017,"Coahuila","Hombre",1530244,214,220
"144",2017,"Coahuila","Mujer",1535402,28,35
"145",2017,"Colima","Hombre",368183,701,742
"146",2017,"Colima","Mujer",372968,69,74
"147",2017,"Durango","Hombre",893944,198,173
"148",2017,"Durango","Mujer",916863,16,27
"149",2017,"Guanajuato","Hombre",2939794,1263,2062
"150",2017,"Guanajuato","Mujer",3088820,159,217
"151",2017,"Guerrero","Hombre",1746072,2311,2332
"152",2017,"Guerrero","Mujer",1859950,211,212
"153",2017,"Hidalgo","Hombre",1429502,184,256
"154",2017,"Hidalgo","Mujer",1528594,24,54
"155",2017,"Jalisco","Hombre",3996046,1416,1472
"156",2017,"Jalisco","Mujer",4107195,111,146
"157",2017,"México","Hombre",8185812,2056,2587
"158",2017,"México","Mujer",8575798,292,470
"159",2017,"Michoacán","Hombre",2285464,1357,1587
"160",2017,"Michoacán","Mujer",2418344,112,148
"161",2017,"Morelos","Hombre",953140,575,571
"162",2017,"Morelos","Mujer",1013336,39,78
"163",2017,"Nayarit","Hombre",611749,308,447
"164",2017,"Nayarit","Mujer",612466,40,65
"165",2017,"Nuevo León","Hombre",2667592,588,582
"166",2017,"Nuevo León","Mujer",2667474,25,65
"167",2017,"Oaxaca","Hombre",1949304,862,862
"168",2017,"Oaxaca","Mujer",2110403,57,123
"169",2017,"Puebla","Hombre",3073003,915,921
"170",2017,"Puebla","Mujer",3307170,112,139
"171",2017,"Querétaro","Hombre",1052270,158,180
"172",2017,"Querétaro","Mujer",1082822,33,35
"173",2017,"Quintana Roo","Hombre",799085,257,405
"174",2017,"Quintana Roo","Mujer",786139,32,46
"175",2017,"San Luis Potosí","Hombre",1363790,463,454
"176",2017,"San Luis Potosí","Mujer",1428935,31,51
"177",2017,"Sinaloa","Hombre",1523178,1473,1522
"178",2017,"Sinaloa","Mujer",1540415,0,84
"179",2017,"Sonora","Hombre",1463436,679,690
"180",2017,"Sonora","Mujer",1478926,37,62
"181",2017,"Tabasco","Hombre",1218640,375,404
"182",2017,"Tabasco","Mujer",1253675,24,44
"183",2017,"Tamaulipas","Hombre",1755138,898,1055
"184",2017,"Tamaulipas","Mujer",1788305,145,141
"185",2017,"Tlaxcala","Hombre",644748,97,110
"186",2017,"Tlaxcala","Mujer",678205,19,20
"187",2017,"Veracruz","Hombre",4056607,1773,1603
"188",2017,"Veracruz","Mujer",4291065,138,197
"189",2017,"Yucatán","Hombre",1070193,35,39
"190",2017,"Yucatán","Mujer",1098941,3,13
